MSSubClass,LotArea,BldgType,OverallCond,YearBuilt,YearRemodAdd,Age,Remodel Age,Foundation,BsmtUnfSF,BsmtFinSF,TotalBsmtSF,GrLivArea,TotalFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,TotalFullBath,TotalHalfBath,TotalBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,MoSold,YrSold,SalePrice
60,10900,1Fam,7,1977,1977,34,34,CBlock,311,378,689,1392,1770,0,0,1,1,1,1,1.5,3,6,1,3,2010,161750
60,8068,1Fam,5,2002,2002,9,9,PConc,1010,0,1010,2267,2267,0,0,2,1,2,1,2.5,4,8,2,12,2009,200000
60,11475,1Fam,6,1975,1975,36,36,CBlock,163,550,713,1552,2102,1,0,2,1,3,1,3.5,3,6,2,2,2006,179900
60,15138,1Fam,5,1995,1996,16,15,PConc,773,689,1462,2794,3483,1,0,2,1,3,1,3.5,4,9,3,7,2009,403000
60,7851,1Fam,5,2002,2002,9,9,PConc,235,625,860,1960,2585,1,0,2,1,3,1,3.5,4,8,2,5,2010,216500
60,9453,1Fam,7,1993,2003,18,8,PConc,594,402,996,1744,2146,0,0,2,1,2,1,2.5,3,7,2,2,2010,194500
60,8880,1Fam,5,1994,2002,17,9,PConc,253,695,948,2110,2805,1,0,2,1,3,1,3.5,3,8,2,5,2010,205000
60,11317,1Fam,5,2003,2003,8,8,PConc,840,0,840,1668,1668,0,0,2,1,2,1,2.5,3,8,2,9,2007,180000
60,8366,1Fam,5,2004,2004,7,7,PConc,798,0,798,1640,1640,0,0,2,1,2,1,2.5,3,6,2,12,2008,173000
60,8738,1Fam,5,1999,1999,12,12,PConc,975,0,975,2291,2291,0,0,2,1,2,1,2.5,4,8,2,2,2006,230000
60,8791,1Fam,5,2003,2003,8,8,PConc,361,503,864,1728,2231,0,0,2,1,2,1,2.5,3,7,2,5,2008,207500
60,12435,1Fam,5,2001,2001,10,10,PConc,602,361,963,1792,2153,0,0,2,1,2,1,2.5,3,7,2,5,2008,231500
60,11207,1Fam,5,1997,1997,14,14,PConc,88,714,802,1511,2225,1,0,2,1,3,1,3.5,3,8,2,6,2006,185000
60,11764,1Fam,7,1999,2007,12,4,PConc,628,524,1152,2270,2794,0,0,2,1,2,1,2.5,4,9,3,4,2010,290000
60,10005,1Fam,5,1977,1977,34,34,CBlock,768,392,1160,2022,2414,0,0,2,1,2,1,2.5,4,8,2,3,2008,192000
60,11287,1Fam,6,1989,1989,22,22,CBlock,386,421,807,1982,2403,0,0,2,1,2,1,2.5,3,7,2,1,2007,228500
60,16659,1Fam,7,1977,1994,34,17,CBlock,0,795,795,2263,3058,1,0,2,1,3,1,3.5,3,9,2,3,2006,235000
60,7399,1Fam,5,1997,1998,14,13,PConc,326,649,975,1950,2599,0,0,2,1,2,1,2.5,3,7,2,6,2007,239000
60,11700,1Fam,6,1968,1968,43,43,CBlock,143,559,702,1743,2302,0,1,1,2,1,3,2.5,3,7,2,6,2007,175000
60,16226,1Fam,5,1998,1999,13,12,PConc,747,281,1028,2452,2733,0,0,2,1,2,1,2.5,4,9,2,5,2007,267000
60,13474,1Fam,5,1990,1991,21,20,CBlock,0,700,700,2243,2943,1,0,2,1,3,1,3.5,4,8,3,6,2007,225000
60,7685,1Fam,5,1993,1994,18,17,PConc,179,518,697,1501,2019,0,0,2,1,2,1,2.5,3,6,2,5,2006,165600
60,7795,1Fam,5,2004,2005,7,6,PConc,291,425,716,1432,1857,1,0,2,1,3,1,3.5,3,6,2,7,2009,188500
60,13005,1Fam,7,1980,1980,31,31,CBlock,153,692,845,2353,3045,1,0,2,1,3,1,3.5,4,10,2,8,2009,260000
60,9000,1Fam,5,2006,2006,5,5,PConc,1088,0,1088,1959,1959,0,0,2,1,2,1,2.5,3,8,3,12,2007,270000
60,9900,1Fam,5,1993,1993,18,18,PConc,360,987,1347,2646,3633,1,0,2,1,3,1,3.5,4,9,3,4,2009,260000
60,12099,1Fam,5,2004,2004,7,7,PConc,166,970,1136,2468,3438,1,0,2,1,3,1,3.5,4,10,3,6,2007,354000
60,10380,1Fam,5,1986,1987,25,24,CBlock,0,1502,1502,2730,4232,1,0,2,1,3,1,3.5,4,8,2,8,2007,301000
60,9042,1Fam,5,1998,1998,13,13,PConc,115,828,943,1638,2466,1,0,2,1,3,1,3.5,3,7,2,7,2008,192000
60,14191,1Fam,5,2002,2002,9,9,PConc,967,0,967,1908,1908,0,0,2,1,2,1,2.5,4,9,2,4,2010,202900
60,12011,1Fam,5,1998,1998,13,13,PConc,130,956,1086,1924,2880,1,0,2,1,3,1,3.5,3,7,2,6,2006,280000
60,18800,1Fam,5,1976,1976,35,35,PConc,84,712,796,1574,2286,1,0,2,1,3,1,3.5,3,6,2,7,2006,190000
60,8121,1Fam,5,2000,2000,11,11,PConc,953,0,953,1664,1664,0,0,2,1,2,1,2.5,3,7,2,1,2006,172400
60,8200,1Fam,5,2003,2004,8,7,PConc,847,0,847,1928,1928,0,0,2,1,2,1,2.5,4,8,2,7,2007,219500
60,11143,1Fam,5,2004,2005,7,6,PConc,1580,0,1580,2466,2466,0,0,3,0,3,0,3,4,8,2,12,2007,340000
60,8123,1Fam,5,2000,2000,11,11,PConc,982,0,982,1800,1800,0,0,2,1,2,1,2.5,3,7,2,6,2009,179000
60,9245,1Fam,5,2006,2006,5,5,PConc,939,0,939,1797,1797,0,0,2,1,2,1,2.5,3,8,2,4,2007,213500
60,53107,1Fam,5,1992,1992,19,19,PConc,595,985,1580,1953,2938,1,0,2,1,3,1,3.5,3,9,2,6,2007,240000
60,12209,1Fam,5,2001,2002,10,9,PConc,114,690,804,1961,2651,1,0,2,1,3,1,3.5,3,7,2,6,2009,215000
60,7590,1Fam,5,1962,1962,49,49,CBlock,324,540,864,1812,2352,0,0,2,0,2,0,2,4,8,1,7,2007,169500
60,8125,1Fam,5,2006,2007,5,4,PConc,280,812,1092,1550,2362,1,0,2,0,3,0,3,2,7,2,10,2009,241000
60,10364,1Fam,5,1995,1996,16,15,PConc,806,0,806,1572,1572,0,0,2,1,2,1,2.5,3,7,2,5,2007,168000
60,11228,1Fam,5,1993,1993,18,18,PConc,499,581,1080,2097,2678,0,1,2,1,2,2,3,3,9,3,12,2008,228000
60,7844,1Fam,7,1978,1978,33,33,CBlock,463,209,672,1400,1609,0,0,1,1,1,1,1.5,3,6,2,3,2006,149500
60,9200,1Fam,5,1998,1998,13,13,PConc,484,986,1470,2630,3616,1,0,2,1,3,1,3.5,4,8,3,6,2008,315000
60,3378,1Fam,8,1946,1992,65,19,CBlock,651,0,651,1389,1389,0,0,1,1,1,1,1.5,3,6,1,9,2009,135000
60,10839,1Fam,5,1997,1998,14,13,PConc,926,0,926,1604,1604,0,0,2,1,2,1,2.5,3,7,2,7,2008,181000
60,10667,1Fam,6,1996,1996,15,15,PConc,70,729,799,1661,2390,1,0,2,1,3,1,3.5,3,6,2,4,2009,212000
60,8750,1Fam,5,1994,1995,17,16,PConc,273,642,915,1908,2550,1,0,2,1,3,1,3.5,4,8,2,7,2008,210000
60,11214,1Fam,5,1998,1999,13,12,PConc,930,0,930,1886,1886,0,0,2,1,2,1,2.5,4,10,2,7,2006,199900
60,9303,1Fam,5,1996,1997,15,14,PConc,130,742,872,1756,2498,1,0,2,1,3,1,3.5,3,7,2,7,2007,204000
60,9000,1Fam,5,2008,2008,3,3,PConc,768,0,768,1590,1590,0,0,2,1,2,1,2.5,3,6,2,6,2009,210000
60,9291,1Fam,5,1993,1993,18,18,PConc,406,426,832,1710,2136,0,0,2,1,2,1,2.5,3,7,2,6,2008,187000
60,11952,1Fam,6,1977,1977,34,34,CBlock,808,0,808,1969,1969,0,0,2,1,2,1,2.5,3,8,2,11,2007,190000
60,13693,1Fam,5,2006,2006,5,5,PConc,2153,0,2153,2643,2643,0,0,2,1,2,1,2.5,3,9,3,3,2007,380000
60,9803,1Fam,5,2005,2005,6,6,PConc,466,400,866,1768,2168,0,0,2,1,2,1,2.5,3,7,2,2,2008,226700
60,9554,1Fam,5,1993,1994,18,17,PConc,397,380,777,1911,2291,0,0,2,1,2,1,2.5,3,8,2,9,2006,215000
60,10208,1Fam,5,1996,1997,15,14,PConc,1264,0,1264,2344,2344,0,0,2,1,2,1,2.5,3,7,3,7,2009,265000
60,9531,1Fam,5,1998,1998,13,13,PConc,88,706,794,1796,2502,1,0,2,1,3,1,3.5,3,7,2,5,2007,211000
60,11787,1Fam,5,1996,1997,15,14,PConc,660,719,1379,2398,3117,1,0,2,1,3,1,3.5,3,8,3,8,2007,315750
60,9056,1Fam,5,2004,2004,7,7,PConc,707,0,707,1414,1414,0,0,2,1,2,1,2.5,3,6,2,10,2006,178000
60,8924,1Fam,5,1998,1999,13,12,PConc,880,0,880,1724,1724,0,0,2,1,2,1,2.5,3,8,2,7,2008,188000
60,11000,1Fam,5,2000,2000,11,11,PConc,969,0,969,2285,2285,0,0,2,1,2,1,2.5,4,8,3,6,2007,248000
60,9375,1Fam,5,2003,2004,8,7,PConc,912,0,912,2094,2094,0,0,2,1,2,1,2.5,4,8,2,11,2009,263000
60,10625,1Fam,5,2003,2004,8,7,PConc,132,866,998,2046,2912,1,0,2,1,3,1,3.5,3,8,3,8,2008,284000
60,21872,1Fam,5,1996,1997,15,14,PConc,125,604,729,1446,2050,0,1,2,1,2,2,3,3,6,2,8,2008,175000
60,13346,1Fam,5,1992,2000,19,11,PConc,367,728,1095,2295,3023,1,0,2,1,3,1,3.5,4,9,2,7,2006,268000
60,11198,1Fam,5,2005,2007,6,4,PConc,1122,0,1122,2504,2504,0,0,2,1,2,1,2.5,4,11,3,6,2008,325000
60,8320,1Fam,5,2004,2004,7,7,PConc,280,490,770,1582,2072,0,0,2,1,2,1,2.5,3,6,2,9,2008,185900
60,13478,1Fam,5,2008,2008,3,3,PConc,384,1338,1722,2296,3634,1,0,2,1,3,1,3.5,3,10,3,6,2009,451950
60,10927,1Fam,5,2005,2005,6,6,PConc,512,546,1058,1904,2450,1,0,2,1,3,1,3.5,3,8,2,6,2006,275000
60,13600,1Fam,6,1965,1990,46,21,CBlock,314,454,768,1986,2440,0,0,2,1,2,1,2.5,3,7,2,10,2009,205000
60,11050,1Fam,5,2000,2000,11,11,PConc,536,904,1440,2153,3057,1,0,2,1,3,1,3.5,3,8,3,5,2009,313000
60,11885,1Fam,5,2001,2001,10,10,PConc,309,990,1299,1872,2862,1,0,2,1,3,1,3.5,3,7,2,11,2009,261500
60,7861,1Fam,5,2002,2003,9,8,PConc,326,457,783,1509,1966,1,0,2,1,3,1,3.5,3,7,2,6,2006,183200
60,12244,1Fam,5,2003,2003,8,8,PConc,611,871,1482,2262,3133,1,0,2,1,3,1,3.5,4,10,3,8,2008,305000
60,10800,1Fam,7,1974,1997,37,14,CBlock,384,1138,1522,2614,3752,0,0,2,1,2,1,2.5,4,9,2,6,2008,240000
60,10400,1Fam,5,1972,1972,39,39,CBlock,485,247,732,1790,2037,1,0,1,2,2,2,3,4,8,2,11,2006,165150
60,7050,1Fam,5,2001,2001,10,10,PConc,319,738,1057,1929,2667,1,0,2,1,3,1,3.5,3,7,2,5,2007,226000
60,10793,1Fam,5,1969,1969,42,42,CBlock,0,780,780,1620,2400,0,0,2,1,2,1,2.5,4,7,2,4,2007,152000
60,7700,1Fam,5,1966,1966,45,45,CBlock,756,0,756,1839,1839,0,0,1,1,1,1,1.5,4,7,2,6,2010,155000
60,8125,1Fam,6,2007,2007,4,4,PConc,813,0,813,1665,1665,0,0,2,1,2,1,2.5,3,7,2,5,2008,205950
60,8750,1Fam,5,1996,1996,15,15,PConc,880,0,880,1716,1716,0,0,2,1,2,1,2.5,2,7,2,7,2009,191000
60,12384,1Fam,7,1976,1976,35,35,CBlock,793,0,793,1935,1935,0,0,2,1,2,1,2.5,3,7,2,11,2007,197900
60,46589,1Fam,7,1994,2005,17,6,PConc,88,1541,1629,2448,3989,1,0,2,1,3,1,3.5,4,8,3,7,2009,402000
60,11194,1Fam,5,2000,2000,11,11,PConc,1406,0,1406,1936,1936,0,0,2,1,2,1,2.5,3,7,2,11,2006,230500
60,8633,1Fam,5,2005,2005,6,6,PConc,545,193,738,1476,1669,1,0,2,1,3,1,3.5,3,7,2,2,2009,173500
60,16770,1Fam,5,1998,1998,13,13,PConc,1195,0,1195,1839,1839,0,0,2,1,2,1,2.5,4,7,2,6,2010,221000
60,21535,1Fam,6,1994,1995,17,16,PConc,989,1455,2444,4316,5771,0,1,3,1,3,2,4,4,10,3,1,2007,755000
60,26178,1Fam,5,1989,1990,22,21,PConc,245,965,1210,2519,3484,1,0,2,1,3,1,3.5,4,9,2,4,2006,335000
60,13517,1Fam,8,1976,2005,35,6,CBlock,192,533,725,1479,2012,0,0,2,1,2,1,2.5,3,6,2,3,2010,130500
60,10542,1Fam,5,1993,1994,18,17,PConc,138,1173,1311,2418,3591,1,0,2,1,3,1,3.5,3,9,3,8,2008,341000
60,11404,1Fam,5,1998,1999,13,12,PConc,901,252,1153,2031,2283,0,0,2,1,2,1,2.5,3,8,2,7,2008,222500
60,10463,1Fam,5,2005,2005,6,6,PConc,893,0,893,1801,1801,0,0,2,1,2,1,2.5,3,8,3,6,2006,239900
60,9313,1Fam,5,2004,2004,7,7,PConc,864,0,864,1728,1728,0,0,2,1,2,1,2.5,3,7,2,4,2009,190000
60,8963,1Fam,9,1976,1996,35,15,CBlock,487,655,1142,2715,3370,0,1,3,1,3,2,4,4,11,2,7,2008,299800
60,8795,1Fam,5,2000,2000,11,11,PConc,652,300,952,2256,2556,0,0,2,1,2,1,2.5,4,8,2,4,2009,236000
60,7750,1Fam,5,2003,2003,8,8,PConc,660,0,660,1320,1320,0,0,2,1,2,1,2.5,3,6,2,8,2007,162000
60,10240,1Fam,5,2005,2005,6,6,PConc,1030,0,1030,2098,2098,0,0,2,1,2,1,2.5,3,8,3,3,2006,275500
60,10769,1Fam,5,2007,2007,4,4,PConc,846,20,866,1768,1788,0,0,2,1,2,1,2.5,3,7,2,4,2009,212000
60,12257,1Fam,5,1995,1995,16,16,PConc,1198,120,1318,2531,2651,0,0,2,1,2,1,2.5,4,9,3,11,2007,290000
60,8640,1Fam,5,2009,2009,2,2,PConc,732,24,756,1547,1571,0,0,2,1,2,1,2.5,3,7,2,6,2010,215200
60,9430,1Fam,5,1999,1999,12,12,PConc,89,1163,1252,2365,3528,1,0,2,1,3,1,3.5,3,8,3,7,2009,337000
60,10421,1Fam,5,1988,1988,23,23,CBlock,586,394,980,1714,2108,0,0,2,1,2,1,2.5,3,7,2,3,2010,196500
60,53504,1Fam,5,2003,2003,8,8,PConc,234,1416,1650,3279,4695,1,0,3,1,4,1,4.5,4,12,3,6,2010,538000
60,7153,1Fam,5,1992,1992,19,19,PConc,374,387,761,1603,1990,0,0,2,1,2,1,2.5,3,7,2,7,2006,175900
60,10142,1Fam,5,2004,2004,7,7,PConc,300,656,956,2084,2740,1,0,2,1,3,1,3.5,4,8,2,1,2010,233000
60,12205,1Fam,8,1966,2007,45,4,CBlock,264,568,832,2087,2655,0,0,2,1,2,1,2.5,5,9,2,7,2007,187500
60,9920,1Fam,5,1996,1997,15,14,PConc,255,862,1117,2013,2875,1,0,2,1,3,1,3.5,3,8,2,6,2007,269790
60,10832,1Fam,5,1994,1996,17,15,PConc,712,0,712,1895,1895,0,0,2,1,2,1,2.5,3,7,2,10,2008,194500
60,8400,1Fam,6,1980,1981,31,30,CBlock,650,0,650,1564,1564,0,0,2,1,2,1,2.5,3,7,2,4,2010,171000
60,12798,1Fam,5,1997,1997,14,14,PConc,154,462,616,1688,2150,1,0,2,1,3,1,3.5,4,8,2,5,2008,200000
60,8199,1Fam,5,2005,2005,6,6,PConc,80,648,728,1456,2104,1,0,2,1,3,1,3.5,3,7,2,10,2008,189000
60,7226,1Fam,5,2003,2003,8,8,PConc,798,0,798,1640,1640,0,0,2,1,2,1,2.5,3,6,2,6,2008,183000
60,9548,1Fam,6,2003,2003,8,8,PConc,458,483,941,1829,2312,1,0,2,1,3,1,3.5,3,7,2,1,2010,237000
60,9317,1Fam,5,1993,1993,18,18,PConc,227,513,740,1775,2288,1,0,2,1,3,1,3.5,3,7,2,7,2009,213000
60,8125,1Fam,5,1994,1995,17,16,PConc,702,0,702,1481,1481,0,0,2,1,2,1,2.5,3,6,2,3,2009,174000
60,11029,1Fam,7,1968,1984,43,27,CBlock,435,619,1054,2654,3273,1,0,2,1,3,1,3.5,4,9,2,8,2006,250000
60,14762,1Fam,6,1948,1950,63,61,Slab,0,0,0,2320,2320,0,0,2,0,2,0,2,2,7,2,5,2006,169000
60,9938,1Fam,5,1993,1994,18,17,PConc,300,750,1050,1949,2699,1,0,2,1,3,1,3.5,3,8,2,6,2010,236000
60,8750,1Fam,5,1998,1998,13,13,PConc,299,505,804,1682,2187,0,0,2,1,2,1,2.5,3,7,2,6,2010,200500
60,8834,1Fam,5,2004,2005,7,6,PConc,292,1170,1462,2224,3394,1,0,2,1,3,1,3.5,4,10,3,6,2009,350000
60,9636,1Fam,5,1992,1993,19,18,PConc,808,0,808,1593,1593,0,0,2,1,2,1,2.5,3,7,2,12,2009,178000
60,11184,1Fam,5,1978,1978,33,33,CBlock,192,726,918,1683,2409,0,0,2,1,2,1,2.5,3,7,2,7,2009,172500
60,7056,1Fam,5,1963,1963,48,48,CBlock,380,400,780,1796,2196,1,0,1,1,2,1,2.5,4,8,2,10,2008,140000
60,7875,1Fam,5,2003,2003,8,8,PConc,783,0,783,1509,1509,0,0,2,1,2,1,2.5,3,8,2,7,2006,180000
60,12589,1Fam,5,2005,2005,6,6,PConc,742,0,742,1484,1484,0,0,2,1,2,1,2.5,3,8,2,6,2009,174000
60,13125,1Fam,5,1991,1991,20,20,PConc,422,682,1104,2127,2809,1,0,2,1,3,1,3.5,4,8,3,11,2007,238000
60,8462,1Fam,5,1994,1994,17,17,PConc,114,814,928,1721,2535,0,1,2,1,2,2,3,3,7,2,7,2007,201000
60,11999,1Fam,5,2003,2004,8,7,PConc,1181,0,1181,2374,2374,0,0,2,1,2,1,2.5,4,10,3,5,2007,285000
60,9900,1Fam,5,1968,1968,43,43,CBlock,280,552,832,1978,2530,0,0,2,1,2,1,2.5,4,9,2,4,2008,176000
60,13006,1Fam,5,1997,1997,14,14,PConc,964,0,964,2236,2236,0,0,2,1,2,1,2.5,4,8,2,11,2006,222000
60,9675,1Fam,5,2005,2005,6,6,PConc,772,341,1113,1971,2312,0,0,2,1,2,1,2.5,3,8,2,2,2009,253000
60,8755,1Fam,5,1999,1999,12,12,PConc,220,772,992,2060,2832,1,0,2,1,3,1,3.5,3,8,2,6,2009,214000
60,14006,1Fam,5,2002,2002,9,9,PConc,936,0,936,1776,1776,0,0,2,1,2,1,2.5,3,7,2,2,2006,192500
60,11075,1Fam,4,1969,1969,42,42,CBlock,29,755,784,1968,2723,0,1,2,1,2,2,3,4,7,2,9,2008,172000
60,12227,1Fam,7,1977,1995,34,16,CBlock,434,896,1330,2872,3768,1,0,2,1,3,1,3.5,4,11,2,7,2008,272000
60,11316,1Fam,5,2002,2003,9,8,PConc,193,624,817,1894,2518,1,0,2,1,3,1,3.5,4,8,2,2,2010,214900
60,12203,1Fam,5,1998,1999,13,12,PConc,371,854,1225,2612,3466,1,0,2,1,3,1,3.5,4,8,3,7,2009,336000
60,11250,1Fam,5,2002,2002,9,9,PConc,1128,0,1128,2290,2290,0,0,2,1,2,1,2.5,4,9,2,5,2008,255900
60,12046,1Fam,6,1976,1976,35,35,CBlock,692,156,848,2030,2186,0,0,2,1,2,1,2.5,4,8,2,6,2007,195000
60,9452,1Fam,5,1997,1998,14,13,PConc,322,1074,1396,2392,3466,1,0,2,1,3,1,3.5,3,7,3,6,2006,348000
60,9760,1Fam,8,1964,1993,47,18,CBlock,169,653,822,1851,2504,0,0,2,1,2,1,2.5,3,7,2,7,2007,187000
60,8400,1Fam,6,2001,2001,10,10,PConc,167,643,810,1665,2308,1,0,2,1,3,1,3.5,3,6,2,11,2009,227000
60,9240,1Fam,5,2001,2002,10,9,PConc,1055,0,1055,2263,2263,0,0,2,1,2,1,2.5,3,7,2,9,2008,287000
60,9130,1Fam,8,1966,2000,45,11,CBlock,336,464,800,1632,2096,0,1,1,1,1,2,2,4,7,2,7,2008,173000
60,11839,1Fam,5,1990,1990,21,21,PConc,390,1085,1475,2329,3414,1,0,2,1,3,1,3.5,4,10,2,5,2008,262280
60,9500,1Fam,6,1964,1978,47,33,CBlock,374,442,816,1977,2419,0,1,1,1,1,2,2,4,9,2,6,2007,165000
60,11367,1Fam,5,2002,2002,9,9,PConc,133,932,1065,1989,2921,1,0,2,1,3,1,3.5,3,7,2,11,2006,255000
60,29959,1Fam,6,1994,1994,17,17,PConc,378,595,973,1850,2445,0,0,2,1,2,1,2.5,3,7,2,1,2009,248000
60,11308,1Fam,5,2008,2008,3,3,PConc,168,936,1104,2184,3120,1,0,2,1,3,1,3.5,3,10,3,7,2009,335000
60,14000,1Fam,5,1996,1997,15,14,PConc,105,1201,1306,2260,3461,1,0,2,1,3,1,3.5,3,7,2,4,2010,328000
60,7837,1Fam,7,1993,1994,18,17,PConc,799,0,799,1571,1571,0,0,2,1,2,1,2.5,3,7,2,5,2009,178000
60,9760,1Fam,6,1964,1964,47,47,CBlock,0,780,780,1611,2391,1,0,1,1,2,1,2.5,4,7,2,6,2008,167900
60,11700,1Fam,6,1968,1968,43,43,CBlock,429,298,727,1556,1854,0,0,1,1,1,1,1.5,4,8,2,5,2009,154000
60,7950,1Fam,6,1977,1977,34,34,CBlock,155,535,690,1426,1961,0,0,1,1,1,1,1.5,3,6,2,7,2009,159500
60,13031,1Fam,5,1995,1996,16,15,PConc,99,592,691,1498,2090,0,0,2,1,2,1,2.5,3,6,2,7,2006,187500
60,10574,1Fam,5,2005,2006,6,5,PConc,1082,0,1082,1953,1953,0,0,2,1,2,1,2.5,3,9,3,5,2009,252000
60,12256,1Fam,5,1994,1995,17,16,PConc,431,1032,1463,2622,3654,1,0,2,1,3,1,3.5,3,9,2,4,2010,325000
60,8000,1Fam,5,1995,1996,16,15,PConc,554,219,773,1658,1877,1,0,2,1,3,1,3.5,3,8,2,6,2008,188000
60,10480,1Fam,6,1976,1976,35,35,CBlock,400,403,803,1964,2367,0,0,2,1,2,1,2.5,4,8,2,9,2008,205000
60,11796,1Fam,5,2004,2005,7,6,PConc,847,0,847,1959,1959,0,0,2,1,2,1,2.5,4,8,2,7,2007,215000
60,9828,1Fam,5,1995,1995,16,16,PConc,544,584,1128,2020,2604,0,0,2,1,2,1,2.5,3,8,2,6,2009,239500
60,8773,1Fam,5,1997,1997,14,14,PConc,916,0,916,1600,1600,0,0,2,1,2,1,2.5,3,7,2,8,2007,169000
60,10304,1Fam,7,1976,1976,35,35,CBlock,399,381,780,1868,2249,1,0,2,1,3,1,3.5,4,9,2,10,2009,197500
60,13700,1Fam,6,1965,1988,46,23,CBlock,410,454,864,1820,2274,0,0,1,2,1,2,2,4,8,2,5,2008,201800
60,9120,1Fam,6,1974,1974,37,37,CBlock,459,442,901,1876,2318,0,0,2,1,2,1,2.5,4,8,2,7,2008,185000
