LotArea,BldgType,OverallCond,YearBuilt,YearRemodAdd,Foundation,TotalFinSF,TotalBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,YrSold,SalePrice
7153,1Fam,5,1992,1992,PConc,1990,2.5,3,7,2,2006,175900
10832,1Fam,5,1994,1996,PConc,1895,2.5,3,7,2,2008,194500
7226,1Fam,5,2003,2003,PConc,1640,2.5,3,6,2,2008,183000
8125,1Fam,5,1994,1995,PConc,1481,2.5,3,6,2,2009,174000
8750,1Fam,5,1998,1998,PConc,2187,2.5,3,7,2,2010,200500
9636,1Fam,5,1992,1993,PConc,1593,2.5,3,7,2,2009,178000
7875,1Fam,5,2003,2003,PConc,1509,2.5,3,8,2,2006,180000
12589,1Fam,5,2005,2005,PConc,1484,2.5,3,8,2,2009,174000
9675,1Fam,5,2005,2005,PConc,2312,2.5,3,8,2,2009,253000
14006,1Fam,5,2002,2002,PConc,1776,2.5,3,7,2,2006,192500
9240,1Fam,5,2001,2002,PConc,2263,2.5,3,7,2,2008,287000
29959,1Fam,6,1994,1994,PConc,2445,2.5,3,7,2,2009,248000
7837,1Fam,7,1993,1994,PConc,1571,2.5,3,7,2,2009,178000
13031,1Fam,5,1995,1996,PConc,2090,2.5,3,6,2,2006,187500
9828,1Fam,5,1995,1995,PConc,2604,2.5,3,8,2,2009,239500
8773,1Fam,5,1997,1997,PConc,1600,2.5,3,7,2,2007,169000
8935,1Fam,5,2002,2002,PConc,1660,2.5,3,7,2,2009,195000
7500,1Fam,5,1999,1999,PConc,1804,2.5,3,7,2,2010,189000
8029,1Fam,5,2005,2005,PConc,1456,2.5,3,8,2,2008,176000
10400,1Fam,5,1998,1998,PConc,1779,2.5,3,6,2,2009,197900
11218,1Fam,5,1992,1992,PConc,1845,2.5,3,8,2,2010,189000
6931,1Fam,5,2003,2004,PConc,1656,2.5,3,7,2,2008,165400
24682,1Fam,5,1999,1999,PConc,1675,2.5,3,7,2,2009,181000
10762,1Fam,5,1999,1999,PConc,2677,2.5,3,9,2,2009,225000
9084,1Fam,5,1998,1998,PConc,1632,2.5,3,8,2,2006,176500
9375,1Fam,5,2002,2002,PConc,2169,2.5,3,7,2,2007,228500
7917,1Fam,5,1999,2000,PConc,1647,2.5,3,7,2,2007,175000
8461,1Fam,5,2005,2006,PConc,1456,2.5,3,8,2,2006,163990
15611,1Fam,5,2006,2006,PConc,1919,2.5,3,8,2,2006,233230
15578,1Fam,5,2006,2006,PConc,1456,2.5,3,8,2,2006,172785
13159,1Fam,5,2009,2009,PConc,1692,2.5,3,6,2,2009,224500
9018,1Fam,5,2007,2007,PConc,1456,2.5,3,8,2,2007,179540
10237,1Fam,5,2005,2007,PConc,1484,2.5,3,8,2,2007,178900
8125,1Fam,5,2006,2006,PConc,1576,2.5,3,6,2,2006,197000
8846,1Fam,5,2005,2006,PConc,1500,2.5,3,6,2,2006,173900
23257,1Fam,5,2006,2006,PConc,2021,2.5,3,9,2,2006,274725
8125,1Fam,5,2005,2006,PConc,1553,2.5,3,6,2,2006,186500
11103,1Fam,5,2006,2006,PConc,1456,2.5,3,8,2,2007,155835
8499,1Fam,5,2006,2007,PConc,1412,2.5,3,6,2,2007,156932
21872,1Fam,5,1996,1997,PConc,2050,3,3,6,2,2008,175000
8462,1Fam,5,1994,1994,PConc,2535,3,3,7,2,2007,201000
10207,1Fam,6,2007,2007,PConc,1761,3,3,7,2,2007,227875
8450,1Fam,5,2003,2003,PConc,2416,3.5,3,8,2,2008,208500
11250,1Fam,5,2001,2002,PConc,2272,3.5,3,6,2,2008,223500
9375,1Fam,5,1997,1998,PConc,2773,3.5,3,8,2,2009,219500
9337,1Fam,5,1997,1997,PConc,2434,3.5,3,7,2,2007,204750
12224,1Fam,5,2000,2000,PConc,2749,3.5,3,7,2,2009,244000
15426,1Fam,5,1997,1997,PConc,2585,3.5,3,7,2,2009,231500
8880,1Fam,5,1994,2002,PConc,2805,3.5,3,8,2,2010,205000
11207,1Fam,5,1997,1997,PConc,2225,3.5,3,8,2,2006,185000
7795,1Fam,5,2004,2005,PConc,1857,3.5,3,6,2,2009,188500
9042,1Fam,5,1998,1998,PConc,2466,3.5,3,7,2,2008,192000
12011,1Fam,5,1998,1998,PConc,2880,3.5,3,7,2,2006,280000
18800,1Fam,5,1976,1976,PConc,2286,3.5,3,6,2,2006,190000
53107,1Fam,5,1992,1992,PConc,2938,3.5,3,9,2,2007,240000
12209,1Fam,5,2001,2002,PConc,2651,3.5,3,7,2,2009,215000
10667,1Fam,6,1996,1996,PConc,2390,3.5,3,6,2,2009,212000
9303,1Fam,5,1996,1997,PConc,2498,3.5,3,7,2,2007,204000
9531,1Fam,5,1998,1998,PConc,2502,3.5,3,7,2,2007,211000
10927,1Fam,5,2005,2005,PConc,2450,3.5,3,8,2,2006,275000
11885,1Fam,5,2001,2001,PConc,2862,3.5,3,7,2,2009,261500
7861,1Fam,5,2002,2003,PConc,1966,3.5,3,7,2,2006,183200
7050,1Fam,5,2001,2001,PConc,2667,3.5,3,7,2,2007,226000
8633,1Fam,5,2005,2005,PConc,1669,3.5,3,7,2,2009,173500
9920,1Fam,5,1996,1997,PConc,2875,3.5,3,8,2,2007,269790
8199,1Fam,5,2005,2005,PConc,2104,3.5,3,7,2,2008,189000
9548,1Fam,6,2003,2003,PConc,2312,3.5,3,7,2,2010,237000
9317,1Fam,5,1993,1993,PConc,2288,3.5,3,7,2,2009,213000
9938,1Fam,5,1993,1994,PConc,2699,3.5,3,8,2,2010,236000
8755,1Fam,5,1999,1999,PConc,2832,3.5,3,8,2,2009,214000
8400,1Fam,6,2001,2001,PConc,2308,3.5,3,6,2,2009,227000
11367,1Fam,5,2002,2002,PConc,2921,3.5,3,7,2,2006,255000
14000,1Fam,5,1996,1997,PConc,3461,3.5,3,7,2,2010,328000
12256,1Fam,5,1994,1995,PConc,3654,3.5,3,9,2,2010,325000
8000,1Fam,5,1995,1996,PConc,1877,3.5,3,8,2,2008,188000
10852,1Fam,5,2000,2000,PConc,2457,3.5,3,7,2,2006,173000
15384,1Fam,5,2004,2005,PConc,2214,3.5,3,8,2,2008,184000
8158,1Fam,5,2003,2003,PConc,2318,3.5,3,8,2,2008,224900
9473,1Fam,5,2002,2002,PConc,2835,3.5,3,7,2,2008,237000
10186,1Fam,5,1992,1992,PConc,2597,3.5,3,8,2,2010,190000
13450,1Fam,5,2002,2002,PConc,2561,3.5,3,8,2,2006,200000
7500,1Fam,5,2000,2000,PConc,2207,3.5,3,7,2,2010,216000
9750,1Fam,6,1998,1998,PConc,3072,3.5,3,8,2,2006,274300
7415,1Fam,5,2004,2004,PConc,2352,3.5,3,8,2,2008,193000
12420,1Fam,5,2001,2001,PConc,2506,3.5,3,6,2,2009,230000
10944,1Fam,5,1994,1994,PConc,3127,3.5,3,5,2,2008,271000
10261,1Fam,5,2000,2000,PConc,1792,3.5,3,8,2,2008,186500
10000,1Fam,5,1995,1996,PConc,3169,3.5,3,8,2,2007,240000
8640,1Fam,5,2009,2009,PConc,2674,3.5,3,7,2,2009,252678
8004,1Fam,5,2009,2009,PConc,2479,3.5,3,8,2,2009,263435
17104,1Fam,5,2006,2006,PConc,2050,3.5,3,7,2,2006,179665
63887,1Fam,5,2008,2008,PConc,11286,4.5,3,12,2,2008,160000
9066,1Fam,5,1999,2000,PConc,2520,2.5,3,7,3,2008,230000
9000,1Fam,5,2006,2006,PConc,1959,2.5,3,8,3,2007,270000
13693,1Fam,5,2006,2006,PConc,2643,2.5,3,9,3,2007,380000
10208,1Fam,5,1996,1997,PConc,2344,2.5,3,7,3,2009,265000
10463,1Fam,5,2005,2005,PConc,1801,2.5,3,8,3,2006,239900
10240,1Fam,5,2005,2005,PConc,2098,2.5,3,8,3,2006,275500
10574,1Fam,5,2005,2006,PConc,1953,2.5,3,9,3,2009,252000
10625,1Fam,5,2005,2005,PConc,1958,2.5,3,9,3,2008,250000
10562,1Fam,5,2007,2007,PConc,3449,2.5,3,8,3,2007,325624
9588,1Fam,5,2007,2007,PConc,2574,2.5,3,10,3,2007,276000
10728,1Fam,5,2006,2006,PConc,1939,2.5,3,8,3,2006,266000
14154,1Fam,5,2006,2006,PConc,2172,2.5,3,9,3,2007,280000
8760,1Fam,5,2006,2006,PConc,2426,2.5,3,7,3,2006,239799
11065,1Fam,5,2006,2006,PConc,1970,2.5,3,8,3,2006,281000
11228,1Fam,5,1993,1993,PConc,2678,3,3,9,3,2008,228000
13688,1Fam,5,2003,2004,PConc,3684,3.5,3,10,3,2008,412500
11787,1Fam,5,1996,1997,PConc,3117,3.5,3,8,3,2007,315750
10625,1Fam,5,2003,2004,PConc,2912,3.5,3,8,3,2008,284000
13478,1Fam,5,2008,2008,PConc,3634,3.5,3,10,3,2009,451950
11050,1Fam,5,2000,2000,PConc,3057,3.5,3,8,3,2009,313000
10542,1Fam,5,1993,1994,PConc,3591,3.5,3,9,3,2008,341000
9430,1Fam,5,1999,1999,PConc,3528,3.5,3,8,3,2009,337000
9452,1Fam,5,1997,1998,PConc,3466,3.5,3,7,3,2006,348000
11308,1Fam,5,2008,2008,PConc,3120,3.5,3,10,3,2009,335000
10316,1Fam,5,2000,2000,PConc,2600,3.5,3,7,3,2008,235000
16545,1Fam,5,1998,1998,PConc,3231,3.5,3,7,3,2009,340000
11003,1Fam,5,2008,2008,PConc,2772,3.5,3,10,3,2009,310000
13682,1Fam,5,2006,2006,PConc,2945,3.5,3,10,3,2006,438780
12474,1Fam,5,2007,2008,PConc,3612,3.5,3,9,3,2008,426000
10800,1Fam,5,2007,2008,PConc,2867,3.5,3,8,3,2008,339750
14948,1Fam,5,2008,2008,PConc,4043,3.5,3,11,3,2008,446261
40094,1Fam,5,2007,2008,PConc,6936,4.5,3,11,3,2007,184750
8400,1Fam,8,1939,1997,PConc,2570,2.5,4,8,1,2008,179500
8068,1Fam,5,2002,2002,PConc,2267,2.5,4,8,2,2009,200000
8738,1Fam,5,1999,1999,PConc,2291,2.5,4,8,2,2006,230000
16226,1Fam,5,1998,1999,PConc,2733,2.5,4,9,2,2007,267000
14191,1Fam,5,2002,2002,PConc,1908,2.5,4,9,2,2010,202900
8200,1Fam,5,2003,2004,PConc,1928,2.5,4,8,2,2007,219500
11214,1Fam,5,1998,1999,PConc,1886,2.5,4,10,2,2006,199900
9375,1Fam,5,2003,2004,PConc,2094,2.5,4,8,2,2009,263000
16770,1Fam,5,1998,1998,PConc,1839,2.5,4,7,2,2010,221000
8795,1Fam,5,2000,2000,PConc,2556,2.5,4,8,2,2009,236000
13006,1Fam,5,1997,1997,PConc,2236,2.5,4,8,2,2006,222000
11250,1Fam,5,2002,2002,PConc,2290,2.5,4,9,2,2008,255900
11796,1Fam,5,2004,2005,PConc,1959,2.5,4,8,2,2007,215000
12393,1Fam,5,2004,2005,PConc,1948,2.5,4,8,2,2006,195000
10140,1Fam,5,1976,1976,PConc,1858,2.5,4,8,2,2006,162900
9572,1Fam,5,1990,1990,PConc,3292,2.5,4,9,2,2007,302000
21930,1Fam,5,2005,2005,PConc,1838,2.5,4,7,2,2006,192140
9000,1Fam,5,2007,2007,PConc,2674,2.5,4,11,2,2007,303477
11170,1Fam,5,1990,1991,Wood,3730,2.5,4,8,2,2006,250000
10029,1Fam,5,1988,1989,PConc,2891,3,4,8,2,2007,211000
11143,1Fam,5,2004,2005,PConc,2466,3,4,8,2,2007,340000
7851,1Fam,5,2002,2002,PConc,2585,3.5,4,8,2,2010,216500
8750,1Fam,5,1994,1995,PConc,2550,3.5,4,8,2,2008,210000
13346,1Fam,5,1992,2000,PConc,3023,3.5,4,9,2,2006,268000
26178,1Fam,5,1989,1990,PConc,3484,3.5,4,9,2,2006,335000
10142,1Fam,5,2004,2004,PConc,2740,3.5,4,8,2,2010,233000
12798,1Fam,5,1997,1997,PConc,2150,3.5,4,8,2,2008,200000
11316,1Fam,5,2002,2003,PConc,2518,3.5,4,8,2,2010,214900
11839,1Fam,5,1990,1990,PConc,3414,3.5,4,10,2,2008,262280
19378,1Fam,5,2005,2006,PConc,2519,3.5,4,9,2,2006,320000
9591,1Fam,5,2004,2005,PConc,2473,2.5,4,9,3,2007,317000
11764,1Fam,7,1999,2007,PConc,2794,2.5,4,9,3,2010,290000
11000,1Fam,5,2000,2000,PConc,2285,2.5,4,8,3,2007,248000
11198,1Fam,5,2005,2007,PConc,2504,2.5,4,11,3,2008,325000
12257,1Fam,5,1995,1995,PConc,2651,2.5,4,9,3,2007,290000
11999,1Fam,5,2003,2004,PConc,2374,2.5,4,10,3,2007,285000
14598,1Fam,5,2007,2007,PConc,1933,2.5,4,9,3,2008,214000
14774,1Fam,5,1999,1999,PConc,2599,2.5,4,10,3,2010,333168
12665,1Fam,5,2005,2006,PConc,2482,2.5,4,9,3,2007,281213
12003,1Fam,5,2009,2010,PConc,1968,2.5,4,8,3,2010,269500
12438,1Fam,5,2006,2006,PConc,2576,2.5,4,10,3,2006,361919
14054,1Fam,5,2006,2006,PConc,1863,2.5,4,9,3,2006,219210
14260,1Fam,5,2000,2000,PConc,2853,3.5,4,9,3,2008,250000
13418,1Fam,5,2004,2005,PConc,2452,3.5,4,9,3,2006,309000
15138,1Fam,5,1995,1996,PConc,3483,3.5,4,9,3,2009,403000
9900,1Fam,5,1993,1993,PConc,3633,3.5,4,9,3,2009,260000
12099,1Fam,5,2004,2004,PConc,3438,3.5,4,10,3,2007,354000
9200,1Fam,5,1998,1998,PConc,3616,3.5,4,8,3,2008,315000
12244,1Fam,5,2003,2003,PConc,3133,3.5,4,10,3,2008,305000
46589,1Fam,7,1994,2005,PConc,3989,3.5,4,8,3,2009,402000
8834,1Fam,5,2004,2005,PConc,3394,3.5,4,10,3,2009,350000
13125,1Fam,5,1991,1991,PConc,2809,3.5,4,8,3,2007,238000
12203,1Fam,5,1998,1999,PConc,3466,3.5,4,8,3,2009,336000
10120,1Fam,5,1994,1994,PConc,3266,3.5,4,8,3,2006,290000
14215,1Fam,5,2005,2006,PConc,2376,3.5,4,9,3,2006,325300
9965,1Fam,5,2007,2007,PConc,3680,3.5,4,10,3,2007,383970
16259,1Fam,5,2006,2006,PConc,2596,3.5,4,9,3,2006,342643
20431,1Fam,5,2005,2006,PConc,4138,3.5,4,10,3,2006,437154
13518,1Fam,5,2008,2009,PConc,3140,3.5,4,11,3,2009,485000
13891,1Fam,5,2008,2009,PConc,2822,3.5,4,12,3,2009,582933
16056,1Fam,5,2005,2006,PConc,3108,3.5,4,11,3,2006,556581
21535,1Fam,6,1994,1995,PConc,5771,4,4,10,3,2007,755000
11924,1Fam,5,2005,2006,PConc,3322,4,4,11,3,2006,345000
9965,1Fam,5,2006,2007,PConc,3978,4,4,11,3,2007,424870
53504,1Fam,5,2003,2003,PConc,4695,4.5,4,12,3,2010,538000
35760,1Fam,5,1995,1996,PConc,5014,4.5,4,10,3,2006,625000
6204,1Fam,5,1912,1950,PConc,2230,2,5,10,1,2006,118500
12376,1Fam,5,1990,1990,PConc,4692,4,5,11,3,2010,320000
